mode,N,test_size,batch,pred_unknown,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,true_marginal,fit_marginal,experiment,exp_type,n_epochs,time
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ohe,50,28.397
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,embed,50,23.2995
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,lmmnn,50,91.8839
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,copnn,50,103.318
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ignore,50,14.3473
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ohe,50,29.1162
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,embed,50,23.1625
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,lmmnn,50,91.5553
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,copnn,50,103.467
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ignore,50,14.7784
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ohe,50,28.9535
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,embed,50,22.9117
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,lmmnn,50,92.7303
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,copnn,50,101.662
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ignore,50,14.3239
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ohe,50,28.5394
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,embed,50,22.3047
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,lmmnn,50,90.5258
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,copnn,50,100.016
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,0,ignore,50,16.7315
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,0,ohe,50,85.6459
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,0,embed,50,26.1559
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,0,lmmnn,50,135.198
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,1,ignore,50,14.6913
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,1,ohe,50,85.3395
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,1,embed,50,23.0815
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,1,lmmnn,50,132.251
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,2,ignore,50,14.4611
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,2,ohe,50,84.9485
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,2,embed,50,22.4979
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,2,lmmnn,50,131.047
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,3,ignore,50,14.4738
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,3,ohe,50,85.0972
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,3,embed,50,22.746
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,3,lmmnn,50,133.918
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,4,ignore,50,14.8252
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,4,ohe,50,85.3126
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,4,embed,50,22.655
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,4,lmmnn,50,134.346
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,0,ignore,50,14.4782
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,0,ohe,50,156.477
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,0,embed,50,24.3768
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,0,lmmnn,50,255.329
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,1,ignore,50,14.5143
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,1,ohe,50,155.993
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,1,embed,50,21.9219
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,1,lmmnn,50,253.961
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,2,ignore,50,14.734
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,2,ohe,50,157.193
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,2,embed,50,21.4046
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,2,lmmnn,50,255.404
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,3,ignore,50,14.6731
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,3,ohe,50,158.148
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,3,embed,50,21.6953
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,3,lmmnn,50,255.299
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,4,ignore,50,13.8388
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,4,ohe,50,156.454
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,4,embed,50,20.4551
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,4,lmmnn,50,253.788
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,0,copnn,50,140.5753629
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,1,copnn,50,140.3699147
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,2,copnn,50,131.2535084
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,3,copnn,50,142.4108111
spatial,100000,0.2,1000,FALSE,1,1,1,5000,laplace,laplace,4,copnn,50,143.7267112
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,0,copnn,50,267.60718
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,1,copnn,50,265.1559496
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,2,copnn,50,263.0544035
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,3,copnn,50,267.0124397
spatial,100000,0.2,1000,FALSE,1,1,1,10000,laplace,laplace,4,copnn,50,264.7497565
