mode,N,test_size,batch,pred_unknown,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,true_marginal,fit_marginal,experiment,exp_type,mse_no_re,mse,mae,mse_trim,r2,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,sig_ratio,nll_train,nll_test,n_epochs,time
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,0,copnn,2.67916,1.5153,0.919975,1.01382,0.570466,1.21974,0.890907,0.932695,0.422101,1592.86,1666.73,50,23.4267
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ignore,2.41044,2.41044,1.15426,1.6301,0.121345,,,,,,,50,3.87762
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,ohe,2.08406,2.08406,1.08949,1.44194,0.278633,,,,,,,50,5.62509
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,embed,1.98377,1.98377,1.0518,1.35948,0.272208,,,,,,,50,9.86497
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,lmmnn,1.93246,1.25438,0.843279,0.881112,0.541177,1.19075,0.957969,0.92473,0.445833,1565.4,1647.74,50,16.9423
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,copnn,1.96405,1.29768,0.85035,0.890961,0.526149,1.21164,0.816985,0.844348,0.402729,1528.46,1611.69,50,24.2627
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ignore,2.37604,2.37604,1.14582,1.62774,0.165516,,,,,,,50,3.92447
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ohe,2.03164,2.03164,1.07793,1.41834,0.314103,,,,,,,50,5.67385
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,embed,1.94216,1.94216,1.04452,1.31535,0.315142,,,,,,,50,10.0988
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,lmmnn,2.16396,1.28635,0.855248,0.901337,0.545172,1.20935,1.05878,1.01807,0.466807,1608.79,1657.17,50,16.984
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,copnn,2.1765,1.30568,0.855638,0.90299,0.538318,1.22859,0.81491,0.91954,0.398781,1573.24,1595.61,50,24.0813
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ignore,2.28671,2.28671,1.14277,1.60923,0.205692,,,,,,,50,4.03826
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ohe,1.87173,1.87173,1.05304,1.36608,0.357765,,,,,,,50,5.52207
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,embed,1.86156,1.86156,1.0459,1.32411,0.343685,,,,,,,50,10.3584
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,lmmnn,2.11896,1.28724,0.866414,0.911511,0.547152,1.19138,0.905229,0.964147,0.431759,1597.52,1655.05,50,17.1074
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,copnn,2.08233,1.24902,0.850574,0.882515,0.560452,1.22448,0.790475,0.894311,0.392303,1538.53,1605.75,50,24.1211
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ignore,2.81656,2.81656,1.23624,1.85643,0.209782,,,,,,,50,4.0265
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ohe,2.25442,2.25442,1.10976,1.49974,0.384084,,,,,,,50,5.57338
spatial,10000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,embed,2.28133,2.28133,1.12666,1.50816,0.356337,,,,,,,50,10.2381
